CONDITION_CATEGORY,CONDITION,CODE,CODE_TYPE,INCLUSION_TYPE,ADDITIONAL_LOGIC
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05642,ICD-10-CM,Include,None
Cardiovascular Disease,Hypertension,I158,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I255,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E103291,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F14980,ICD-10-CM,Include,None
Other,Peripheral Vascular Disease (PVD),I701,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I6339,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Hip/Pelvic Fracture,S72035B,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1137X3,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08952,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E103511,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1110,ICD-10-CM,Include,None
Metabolic Disease,Obesity,E6609,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9202,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M19179,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,F11921,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E103521,ICD-10-CM,Include,None
Other,Mobility Impairments,I69049,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32313B,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32509A,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05772,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14134A,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,HZ31ZZZ,ICD-10-PCS,Include,None
Cancer,Leukemias and Lymphomas,C8419,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14112S,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06252,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06376S,ICD-10-CM,Include,None
Cardiovascular Disease,Heart Failure,I5021,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M0800,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1520,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T40421A,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02632A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Cancer,Colorectal Cancer,C184,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1927,ICD-10-CM,Include,None
Other,Anemia,D57219,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06331,ICD-10-CM,Include,None
Other,Glaucoma,H40213,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Metabolic Disease,Diabetes,E113523,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02121D,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Pressure and Chronic Ulcers,L97309,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S066X7A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Mobility Impairments,I69342,ICD-10-CM,Include,None
Other,Spina Bifida and Other Congenital Anomalies of the Nervous System,Q079,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F13280,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T401X4A,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70531,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06351,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I6021,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Substance Abuse,Alcohol Use Disorders,F10932,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72116C,ICD-10-CM,Include,None
Other,Mobility Impairments,I69162,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1311,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06324S,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8128,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,G450,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Substance Abuse,Opioid Use Disorder,T403X5A,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G43619,ICD-10-CM,Include,None
Other,Human Immunodeficiency Virus and/or Acquired Immunodeficiency Syndrome (HIV/AIDS),B9735,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S0242XB,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Cancer,Leukemias and Lymphomas,C8472,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72122C,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S062X2B,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Substance Abuse,Drug Use Disorders,F17298,ICD-10-CM,Include,None
Other,Anemia,D644,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M0509,ICD-10-CM,Include,None
Cardiovascular Disease,Hypertension,I152,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,K767,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02611B,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Substance Abuse,Opioid Use Disorder,T402X3A,ICD-10-CM,Include,None
Other,Learning Disabilities,F82,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97804,ICD-10-CM,Include,None
Other,Glaucoma,H40823,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Glaucoma,H40231,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Spinal Cord Injury,S34121A,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14114A,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8206,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32512B,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02841D,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Cancer,Leukemias and Lymphomas,C8119,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,I701,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1039,ICD-10-CM,Include,None
Other,Fibromyalgia and Chronic Pain and Fatigue,R5382,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1919,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S322XXA,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97806,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70239,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8380,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G43811,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S22089B,ICD-10-CM,Include,None
Mental Health,Schizophrenia and Other Psychotic Disorders,F4489,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,K7040,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S34119A,ICD-10-CM,Include,None
Other,"Liver Disease, Cirrhosis, and Other Liver Conditions (except Viral Hepatitis)",0D9S30Z,ICD-10-PCS,Include,None
Cancer,Female/Male Breast Cancer,D0501,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05279,ICD-10-CM,Include,None
Neurodegenerative Disease,Alzheimer's Disease and Related Disorders or Senile Dementia,F0391,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M153,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70335,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F11250,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05571,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,HZ96ZZZ,ICD-10-PCS,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02101B,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Metabolic Disease,Diabetes,E0910,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M0898,ICD-10-CM,Include,None
Mental Health,Depression,F320,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1990,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05719,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E0900,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02122S,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Cancer,Leukemias and Lymphomas,C8389,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,C50529,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8376,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F13159,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02630B,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06249,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,C50411,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8212,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06822,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N014,ICD-10-CM,Include,None
Other,Glaucoma,H401290,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Glaucoma,H4061X4,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Metabolic Disease,Diabetes,E1041,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F13150,ICD-10-CM,Include,None
Substance Abuse,Tobacco Use,F17221,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8122,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S22059B,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1326,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70544,ICD-10-CM,Include,None
Other,Fibromyalgia and Chronic Pain and Fatigue,M60862,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,F11120,ICD-10-CM,Include,None
Other,Sensory — Blindness and Visual Impairment,H541142,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72044C,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06323A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Substance Abuse,Alcohol Use Disorders,F1097,ICD-10-CM,Include,None
Other,Mobility Impairments,I69039,ICD-10-CM,Include,None
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E71118,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97108,ICD-10-CM,Include,None
Other,Mobility Impairments,I69131,ICD-10-CM,Include,None
Other,Anemia,D518,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,T400X3A,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G43B1,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C84Z5,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,T40425A,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06373A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E70338,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I2510,ICD-10-CM,Include,None
Cardiovascular Disease,Hypertension,H35033,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E083531,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,HZ35ZZZ,ICD-10-PCS,Include,None
Metabolic Disease,Diabetes,E083523,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08971,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32402A,ICD-10-CM,Include,None
Other,Chronic Obstructive Pulmonary Disease and Bronchiectasis,J471,ICD-10-CM,Include,None
Mental Health,Bipolar Disorder,F3010,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72025C,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8139,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06852,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06352S,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14128S,ICD-10-CM,Include,None
Other,Glaucoma,H401211,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Cancer,Leukemias and Lymphomas,C9422,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S0291XB,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Migraine and Chronic Headache,G43C0,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,T404X4A,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14142S,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9391,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97829,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C864,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,T402X1A,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E103522,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M1611,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89134,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F12151,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S0451XS,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S061X5S,ICD-10-CM,Include,None
Other,Mobility Impairments,I69034,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M19139,ICD-10-CM,Include,None
Mental Health,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",F630,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32454B,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06302A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Hip/Pelvic Fracture,S72115A,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T404X2D,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M0570,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F17218,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06371S,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08472,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06356A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Metabolic Disease,Diabetes,E113539,ICD-10-CM,Include,None
Other,Mobility Impairments,I69341,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E083291,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F15959,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72145C,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S069X6S,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72099A,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1352,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1037X1,ICD-10-CM,Include,None
Other,Benign Prostatic Hyperplasia,N401,ICD-10-CM,Include,Exclude any encounter with diagnosis code of D29.1
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05551,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06335A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Glaucoma,H401214,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Hip/Pelvic Fracture,S32409A,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S04892S,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I6320,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05819,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14133S,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89306,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89133,ICD-10-CM,Include,None
Other,Sensory — Blindness and Visual Impairment,H540X34,ICD-10-CM,Include,None
Other,Anemia,D511,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S069X6A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Pressure and Chronic Ulcers,L97509,ICD-10-CM,Include,None
Mental Health,Schizophrenia,F258,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E0965,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N08,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1299,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06862,ICD-10-CM,Include,None
Neurodegenerative Disease,Multiple Sclerosis and Transverse Myelitis,G369,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,D3001,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F16259,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05552,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8250,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N024,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G44319,ICD-10-CM,Include,None
Other,Intellectual Disabilities and Related Conditions,Q939,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8319,ICD-10-CM,Include,None
Other,Anemia,D500,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,F11251,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E103531,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S34104A,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M47891,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I63423,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06071,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70638,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06242,ICD-10-CM,Include,None
Other,Mobility Impairments,I69253,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M1832,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1351,ICD-10-CM,Include,None
Other,Epilepsy,G40019,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S34122A,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14153A,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32512A,ICD-10-CM,Include,None
Other,Mobility Impairments,I69044,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06261,ICD-10-CM,Include,None
Other,Mobility Impairments,G114,ICD-10-CM,Include,None
Cardiovascular Disease,Hypertension,I150,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,D0582,ICD-10-CM,Include,None
Other,Mobility Impairments,G8221,ICD-10-CM,Include,None
Other,"Liver Disease, Cirrhosis, and Other Liver Conditions (except Viral Hepatitis)",K7201,ICD-10-CM,Include,None
Other,Mobility Impairments,I69359,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I63212,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Hip/Pelvic Fracture,S72136B,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32301B,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06269,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08869,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97913,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97506,ICD-10-CM,Include,None
Other,Glaucoma,H40813,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Cardiovascular Disease,Hypertension,H35031,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,E0865,ICD-10-CM,Include,None
Other,Anemia,D593,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05452,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72111B,ICD-10-CM,Include,None
Other,Glaucoma,H40003,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Cancer,Leukemias and Lymphomas,C9241,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32613A,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97515,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T40605S,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T401X2A,ICD-10-CM,Include,None
Cancer,Lung Cancer,C342,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I63031,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E70320,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06352A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Metabolic Disease,Diabetes,E1042,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05071,ICD-10-CM,Include,None
Other,Glaucoma,H4063X4,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Metabolic Disease,Diabetes,E103219,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06011,ICD-10-CM,Include,None
Mental Health,Personality Disorders,F6812,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32473B,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8251,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S069X2A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Spinal Cord Injury,S24112S,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05549,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08922,ICD-10-CM,Include,None
Other,Glaucoma,H4031X2,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Mental Health,Depression,F3161,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70343,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89101,ICD-10-CM,Include,None
Other,Glaucoma,H401112,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Substance Abuse,Opioid Use Disorder,T402X4A,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,D0591,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8116,ICD-10-CM,Include,None
Other,Sensory — Deafness and Hearing Impairment,H9101,ICD-10-CM,Include,None
Other,Epilepsy,G40419,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72062B,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05542,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06327S,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8522,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02831K,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Spinal Cord Injury,S32039B,ICD-10-CM,Include,None
Mental Health,Anxiety Disorders,F40240,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,T403X1A,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,F1124,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05349,ICD-10-CM,Include,None
Other,Epilepsy,G40311,ICD-10-CM,Include,None
Other,Intellectual Disabilities and Related Conditions,Q933,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N060,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89502,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08839,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T40692A,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14149S,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89001,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F12129,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8131,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S066X7S,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,M10369,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N070,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E13321,ICD-10-CM,Include,None
Substance Abuse,Tobacco Use,F17203,ICD-10-CM,Include,None
Mental Health,Bipolar Disorder,F3163,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02631A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Migraine and Chronic Headache,G43711,ICD-10-CM,Include,None
Other,Sensory — Deafness and Hearing Impairment,H9071,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8204,ICD-10-CM,Include,None
Metabolic Disease,Obesity,Z6838,ICD-10-CM,Include,None
Neurodegenerative Disease,Alzheimer's Disease and Related Disorders or Senile Dementia,G309,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F15229,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N054,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S22079A,ICD-10-CM,Include,None
Mental Health,Bipolar Disorder,F3013,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E133531,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05432,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06382A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Epilepsy,G40411,ICD-10-CM,Include,None
Other,"Liver Disease, Cirrhosis, and Other Liver Conditions (except Viral Hepatitis)",R162,ICD-10-CM,Include,None
